match_no	round	season	home_team_org	home_team	goals_home_team	attendance	away_team	goals_away_team	position
4168	11	2012/2013	SIF	Others	2	2.998	AaB	1	Relegated
4172	12	2012/2013	EFB	Others	2	9.337	FCK	2	4th
4173	12	2012/2013	SIF	Others	1	2.496	ACH	1	Relegated
4174	12	2012/2013	RFC	Others	2	4.338	FCM	1	3rd
4177	13	2012/2013	ACH	Others	0	3.721	EFB	0	Relegated
4180	13	2012/2013	AGF	Others	1	11.661	RFC	1	7th
4182	14	2012/2013	EFB	Others	1	6.494	SDR	2	4th
4183	14	2012/2013	SIF	Others	1	2.779	RFC	2	Relegated
4186	14	2012/2013	ACH	Others	1	3.547	FCK	0	Relegated
4189	15	2012/2013	EFB	Others	1	4.072	SIF	0	4th
4190	15	2012/2013	AGF	Others	0	14.676	FCK	2	7th
4191	15	2012/2013	RFC	Others	0	4.360	ACH	0	3rd
4194	16	2012/2013	SIF	Others	1	3.503	BIF	2	Relegated
4197	16	2012/2013	ACH	Others	2	4.228	AGF	0	Relegated
4302	1	2013/2014	AGF	Others	0	9.364	FCM	2	Relegated
4305	1	2013/2014	VFF	Others	2	4.771	RFC	2	Relegated
4306	1	2013/2014	EFB	Others	4	7.594	FCN	0	5th
4308	2	2013/2014	RFC	Others	1	4.852	OB	1	7th
4310	2	2013/2014	FCV	Others	0	3.859	AGF	2	9th
4312	2	2013/2014	EFB	Others	1	9.517	AaB	2	5th
4316	3	2013/2014	AGF	Others	2	6.997	FCN	1	Relegated
4318	3	2013/2014	FCV	Others	2	4.688	AaB	1	9th
4320	4	2013/2014	VFF	Others	2	9.047	BIF	2	Relegated
4321	4	2013/2014	EFB	Others	5	8.012	AGF	1	5th
4323	4	2013/2014	RFC	Others	1	5.064	FCM	3	7th
4326	5	2013/2014	FCV	Others	1	4.434	OB	1	9th
4329	5	2013/2014	RFC	Others	3	3.850	EFB	2	7th
4333	6	2013/2014	AGF	Others	3	8.925	SDR	1	Relegated
4336	6	2013/2014	VFF	Others	3	5.166	EFB	1	Relegated
4339	7	2013/2014	VFF	Others	1	8.212	FCK	4	Relegated
4340	7	2013/2014	EFB	Others	1	8.568	FCM	1	5th
4342	7	2013/2014	RFC	Others	0	4.015	SDR	2	7th
4343	8	2013/2014	AGF	Others	0	9.625	VFF	1	Relegated
4345	8	2013/2014	FCV	Others	2	4.181	RFC	0	9th
4351	9	2013/2014	AGF	Others	1	14.488	BIF	3	Relegated
4353	9	2013/2014	FCV	Others	1	5.285	EFB	3	9th
4354	9	2013/2014	RFC	Others	3	5.690	AaB	2	7th
4358	10	2013/2014	VFF	Others	2	4.532	FCV	0	Relegated
4359	10	2013/2014	EFB	Others	4	7.741	SDR	1	5th
4362	11	2013/2014	EFB	Others	1	6.967	OB	3	5th
4364	11	2013/2014	RFC	Others	2	7.025	AGF	2	7th
4370	12	2013/2014	AGF	Others	0	7.040	FCN	1	Relegated
4371	12	2013/2014	FCV	Others	2	3.213	EFB	1	9th
4374	13	2013/2014	VFF	Others	4	4.221	FCV	1	Relegated
4375	13	2013/2014	EFB	Others	0	4.165	AGF	2	5th
4377	13	2013/2014	RFC	Others	1	5.506	FCK	1	7th
4379	14	2013/2014	AGF	Others	2	6.785	VFF	1	Relegated
4380	14	2013/2014	FCV	Others	0	5.258	BIF	2	9th
4398	17	2013/2014	FCV	Others	0	3.147	FCM	1	9th
4387	15	2013/2014	VFF	Others	2	7.563	FCM	3	Relegated
4388	15	2013/2014	EFB	Others	1	7.663	FCK	1	5th
4390	15	2013/2014	RFC	Others	1	5.624	AaB	4	7th
4393	16	2013/2014	AGF	Others	2	5.959	FCV	2	Relegated
4396	16	2013/2014	RFC	Others	1	3.824	OB	1	7th
4499	1	2014/2015	SIF	Others	0	5.416	FCK	0	Relegated
4504	1	2014/2015	EFB	Others	0	7.257	RFC	1	8th
4505	2	2014/2015	RFC	Others	2	6.929	HOB	1	4th
4506	2	2014/2015	FCV	Others	3	2.709	OB	1	Relegated
4510	2	2014/2015	EFB	Others	1	7.170	SDR	1	8th
4511	3	2014/2015	FCV	Others	2	5.127	FCK	2	Relegated
4512	3	2014/2015	SIF	Others	0	3.105	SDR	2	Relegated
4515	3	2014/2015	HOB	Others	2	6.583	BIF	0	7th
4517	4	2014/2015	RFC	Others	1	4.599	FCV	0	4th
4521	4	2014/2015	EFB	Others	0	5.728	SIF	0	8th
4523	5	2014/2015	RFC	Others	0	3.952	OB	2	4th
4524	5	2014/2015	HOB	Others	0	4.221	FCN	0	7th
4525	5	2014/2015	FCV	Others	2	1.994	SIF	0	Relegated
4530	6	2014/2015	HOB	Others	3	2.682	FCV	1	7th
4532	6	2014/2015	SIF	Others	2	3.067	AaB	2	Relegated
4536	7	2014/2015	EFB	Others	3	5.209	FCV	0	8th
4539	7	2014/2015	SIF	Others	1	2.390	FCN	2	Relegated
4541	8	2014/2015	RFC	Others	1	5.126	SIF	0	4th
4544	8	2014/2015	HOB	Others	1	3.736	EFB	1	7th
4545	8	2014/2015	FCV	Others	1	2.703	AaB	0	Relegated
4549	9	2014/2015	SIF	Others	2	3.081	HOB	2	Relegated
4551	9	2014/2015	EFB	Others	2	10.650	BIF	2	8th
4553	10	2014/2015	RFC	Others	0	5.021	FCN	0	4th
4555	10	2014/2015	HOB	Others	1	4.968	FCM	5	7th
4556	10	2014/2015	FCV	Others	1	2.677	SDR	1	Relegated
4562	11	2014/2015	EFB	Others	2	6.478	OB	0	8th
4565	12	2014/2015	RFC	Others	3	5.135	OB	0	4th
4566	12	2014/2015	EFB	Others	0	10.077	BIF	0	8th
4569	12	2014/2015	HOB	Others	0	4.738	FCK	2	7th
4570	12	2014/2015	SIF	Others	1	2.160	FCV	2	Relegated
4571	13	2014/2015	FCV	Others	1	2.602	EFB	4	Relegated
4578	14	2014/2015	HOB	Others	3	4.389	BIF	0	7th
4579	14	2014/2015	RFC	Others	3	3.929	EFB	2	4th
4596	17	2014/2015	RFC	Others	0	4.551	SDR	0	4th
4580	14	2014/2015	SIF	Others	1	3.587	FCM	2	Relegated
4583	15	2014/2015	FCV	Others	0	1.849	RFC	1	Relegated
4595	17	2014/2015	FCV	Others	1	2.377	HOB	1	Relegated
4584	15	2014/2015	EFB	Others	4	6.057	HOB	2	8th
4589	16	2014/2015	SIF	Others	0	1.866	OB	1	Relegated
4592	16	2014/2015	HOB	Others	0	3.884	RFC	1	7th
4698	1	2015/2016	AGF	Others	2	13.437	BIF	1	10th
4703	2	2015/2016	RFC	Others	3	3.389	FCN	0	6th
4705	2	2015/2016	VFF	Others	0	6.318	AGF	0	8th
4707	2	2015/2016	HOB	Others	0	4.686	AaB	1	Relegated
4708	2	2015/2016	EFB	Others	1	9.255	FCK	2	11th
4713	3	2015/2016	VFF	Others	2	3.557	EFB	1	8th
4714	3	2015/2016	AGF	Others	3	10.532	RFC	2	10th
4715	4	2015/2016	RFC	Others	3	7.412	BIF	3	6th
4716	4	2015/2016	HOB	Others	1	3.305	VFF	1	Relegated
4717	4	2015/2016	EFB	Others	0	7.500	SDR	4	11th
4722	5	2015/2016	VFF	Others	0	7.747	BIF	4	8th
4723	5	2015/2016	AGF	Others	2	10.114	AaB	3	10th
4727	6	2015/2016	RFC	Others	0	5.347	VFF	1	6th
4729	6	2015/2016	HOB	Others	1	2.007	FCN	3	Relegated
4730	6	2015/2016	EFB	Others	1	5.256	FCM	1	11th
4737	7	2015/2016	AGF	Others	0	11.321	EFB	0	10th
4739	8	2015/2016	RFC	Others	1	3.928	SDR	0	6th
4740	8	2015/2016	VFF	Others	0	3.254	FCN	1	8th
4742	8	2015/2016	HOB	Others	0	3.350	AGF	3	Relegated
4743	8	2015/2016	EFB	Others	4	5.329	OB	2	11th
4748	9	2015/2016	AGF	Others	1	6.734	SDR	2	10th
4750	9	2015/2016	EFB	Others	0	5.575	RFC	2	11th
4751	10	2015/2016	RFC	Others	0	7.764	FCM	2	6th
4754	10	2015/2016	VFF	Others	1	5.137	AaB	0	8th
4756	10	2015/2016	HOB	Others	2	2.132	EFB	2	Relegated
4757	11	2015/2016	RFC	Others	2	5.371	HOB	1	6th
4763	12	2015/2016	EFB	Others	1	5.461	AaB	2	11th
4764	12	2015/2016	AGF	Others	3	6.662	FCN	0	10th
4768	12	2015/2016	VFF	Others	0	5.691	BIF	2	8th
4769	13	2015/2016	HOB	Others	3	2.745	AGF	1	Relegated
4772	13	2015/2016	RFC	Others	1	4.209	OB	1	6th
4774	13	2015/2016	VFF	Others	4	3.495	EFB	2	8th
4775	14	2015/2016	EFB	Others	2	5.143	FCN	1	11th
4777	14	2015/2016	AGF	Others	0	5.240	SDR	0	10th
4781	15	2015/2016	RFC	Others	4	6.023	AGF	1	6th
4783	15	2015/2016	HOB	Others	0	1.704	FCN	1	Relegated
4800	18	2015/2016	HOB	Others	0	2.423	RFC	0	Relegated
4784	15	2015/2016	VFF	Others	0	3.803	OB	1	8th
4787	16	2015/2016	EFB	Others	4	5.148	HOB	4	11th
4790	16	2015/2016	AGF	Others	1	6.194	BIF	1	10th
4898	1	2016/2017	VFF	Others	0	2.580	FCN	4	
4902	2	2016/2017	AGF	Others	2	8.156	VFF	1	
4903	2	2016/2017	LBK	Others	2	2.006	OB	2	
4904	2	2016/2017	RFC	Others	0	4.443	AaB	1	
4905	2	2016/2017	SIF	Others	0	4.902	BIF	2	
4910	3	2016/2017	AGF	Others	1	13.047	RFC	2	
4912	3	2016/2017	VFF	Others	2	2.929	EFB	1	
4918	4	2016/2017	SIF	Others	0	2.220	LBK	4	
4920	4	2016/2017	RFC	Others	1	4.326	ACH	0	
4924	5	2016/2017	VFF	Others	0	4.065	RFC	1	
4928	5	2016/2017	LBK	Others	0	2.463	AGF	0	
4932	6	2016/2017	AGF	Others	0	13.658	BIF	7	
4933	6	2016/2017	SIF	Others	1	2.660	VFF	5	
4937	7	2016/2017	LBK	Others	0	2.314	FCN	1	
4940	7	2016/2017	VFF	Others	0	6.043	FCM	0	
4943	7	2016/2017	RFC	Others	1	4.146	SIF	0	
4944	8	2016/2017	RFC	Others	2	4.128	LBK	0	
4947	8	2016/2017	AGF	Others	3	7.563	FCN	1	
4948	8	2016/2017	VFF	Others	2	3.096	ACH	4	
4951	9	2016/2017	SIF	Others	1	4.164	AGF	0	
4952	9	2016/2017	LBK	Others	1	2.648	AaB	0	
4958	10	2016/2017	LBK	Others	1	7.073	BIF	0	
4962	10	2016/2017	AGF	Others	1	8.578	FCM	1	
4964	10	2016/2017	RFC	Others	2	5.729	FCK	2	
4965	11	2016/2017	VFF	Others	0	3.126	LBK	1	
4967	11	2016/2017	RFC	Others	0	5.034	SDR	4	
4968	11	2016/2017	SIF	Others	5	2.623	AaB	3	
4972	12	2016/2017	LBK	Others	1	1.957	FCM	0	
4975	12	2016/2017	SIF	Others	2	2.272	FCN	2	
4976	12	2016/2017	VFF	Others	0	4.137	FCK	0	
4983	13	2016/2017	RFC	Others	3	3.351	OB	0	
4985	13	2016/2017	AGF	Others	1	5.688	ACH	1	
4989	14	2016/2017	LBK	Others	2	1.085	SDR	0	
4991	14	2016/2017	VFF	Others	1	3.310	SIF	3	
4993	15	2016/2017	AGF	Others	6	4.674	EFB	2	
4994	15	2016/2017	SIF	Others	1	2.412	OB	1	
4997	15	2016/2017	LBK	Others	0	1.838	RFC	2	
5000	16	2016/2017	VFF	Others	1	4.311	BIF	2	
5004	16	2016/2017	RFC	Others	2	3.451	FCN	1	
5005	16	2016/2017	AGF	Others	0	5.236	SIF	0	
3711	1	2010/2011	SDR	Sonderjyske	1	4.671	FCK	3	7th
3720	3	2010/2011	SDR	Sonderjyske	3	2.790	EFB	0	7th
3732	5	2010/2011	SDR	Sonderjyske	1	2.634	OB	3	7th
3739	6	2010/2011	SDR	Sonderjyske	2	3.092	ACH	0	7th
3758	9	2010/2011	SDR	Sonderjyske	0	2.723	FCM	2	7th
3773	12	2010/2011	SDR	Sonderjyske	1	2.630	AaB	0	7th
3788	14	2010/2011	SDR	Sonderjyske	1	3.103	SIF	2	7th
3801	16	2010/2011	SDR	Sonderjyske	3	4.377	FCK	3	7th
3907	1	2011/2012	SDR	Sonderjyske	0	4.992	FCK	2	6th
3925	4	2011/2012	SDR	Sonderjyske	3	3.488	AGF	1	6th
3938	6	2011/2012	SDR	Sonderjyske	0	4.049	AaB	0	6th
3949	8	2011/2012	SDR	Sonderjyske	1	3.701	ACH	3	6th
3961	10	2011/2012	SDR	Sonderjyske	0	3.082	HBK	0	6th
3978	13	2011/2012	SDR	Sonderjyske	1	3.089	ACH	4	6th
3990	15	2011/2012	SDR	Sonderjyske	1	2.664	AGF	1	6th
4003	17	2011/2012	SDR	Sonderjyske	3	1.410	LBK	1	6th
4108	1	2012/2013	SDR	Sonderjyske	6	2.995	RFC	1	8th
4112	2	2012/2013	SDR	Sonderjyske	1	6.575	FCK	1	8th
4122	4	2012/2013	SDR	Sonderjyske	0	4.033	ACH	2	8th
4137	6	2012/2013	SDR	Sonderjyske	1	3.638	OB	2	8th
4150	8	2012/2013	SDR	Sonderjyske	0	2.138	AaB	4	8th
4153	9	2012/2013	SDR	Sonderjyske	0	2.275	SIF	2	8th
4170	12	2012/2013	SDR	Sonderjyske	0	2.905	AGF	3	8th
4187	15	2012/2013	SDR	Sonderjyske	1	2.145	FCN	2	8th
4309	2	2013/2014	SDR	Sonderjyske	1	5.700	BIF	0	10th
4324	4	2013/2014	SDR	Sonderjyske	0	2.739	FCV	0	10th
4325	5	2013/2014	SDR	Sonderjyske	0	2.654	VFF	3	10th
4348	8	2013/2014	SDR	Sonderjyske	1	3.123	AaB	3	10th
4352	9	2013/2014	SDR	Sonderjyske	2	2.871	FCN	0	10th
4372	12	2013/2014	SDR	Sonderjyske	1	3.169	OB	5	10th
4381	14	2013/2014	SDR	Sonderjyske	1	1.761	RFC	3	10th
4395	16	2013/2014	SDR	Sonderjyske	1	1.656	EFB	0	10th
4502	1	2014/2015	SDR	Sonderjyske	0	3.228	AaB	0	10th
4522	4	2014/2015	SDR	Sonderjyske	1	4.119	FCM	3	10th
4534	6	2014/2015	SDR	Sonderjyske	1	2.254	RFC	1	10th
4537	7	2014/2015	SDR	Sonderjyske	1	4.138	HOB	1	10th
4547	9	2014/2015	SDR	Sonderjyske	1	5.535	FCK	1	10th
4568	12	2014/2015	SDR	Sonderjyske	1	4.174	FCM	1	10th
4577	14	2014/2015	SDR	Sonderjyske	2	4.428	OB	1	10th
4591	16	2014/2015	SDR	Sonderjyske	0	2.609	EFB	0	10th
4704	2	2015/2016	SDR	Sonderjyske	1	5.245	FCM	2	2nd
4712	3	2015/2016	SDR	Sonderjyske	1	6.242	FCK	3	2nd
4721	5	2015/2016	SDR	Sonderjyske	3	4.204	HOB	0	2nd
4735	7	2015/2016	SDR	Sonderjyske	2	4.345	VFF	1	2nd
4753	10	2015/2016	SDR	Sonderjyske	4	5.052	OB	0	2nd
4773	13	2015/2016	SDR	Sonderjyske	1	8.210	FCK	2	2nd
4782	15	2015/2016	SDR	Sonderjyske	1	3.855	AaB	2	2nd
4796	17	2015/2016	SDR	Sonderjyske	2	3.255	HOB	0	2nd
4896	1	2016/2017	SDR	Sonderjyske	1	5.474	AGF	2	
4909	3	2016/2017	SDR	Sonderjyske	0	4.494	LBK	1	
4916	4	2016/2017	SDR	Sonderjyske	1	6.054	FCK	1	
4938	7	2016/2017	SDR	Sonderjyske	1	4.958	EFB	1	
4949	8	2016/2017	SDR	Sonderjyske	2	4.820	SIF	2	
4963	10	2016/2017	SDR	Sonderjyske	1	4.747	OB	0	
4981	13	2016/2017	SDR	Sonderjyske	1	4.322	VFF	0	
4995	15	2016/2017	SDR	Sonderjyske	2	4.532	ACH	0	
3717	2	2010/2011	AaB	AaB	0	8.815	BIF	2	10th
3730	4	2010/2011	AaB	AaB	0	4.470	SIF	0	10th
3738	6	2010/2011	AaB	AaB	0	3.929	EFB	2	10th
3751	8	2010/2011	AaB	AaB	2	4.802	ACH	3	10th
3762	10	2010/2011	AaB	AaB	0	3.680	SDR	2	10th
3772	11	2010/2011	AaB	AaB	1	4.455	OB	2	10th
3780	13	2010/2011	AaB	AaB	2	5.001	FCN	0	10th
3791	15	2010/2011	AaB	AaB	1	4.008	EFB	1	10th
3916	2	2011/2012	AaB	AaB	2	9.737	AGF	1	7th
3917	3	2011/2012	AaB	AaB	1	9.313	FCM	0	7th
3930	5	2011/2012	AaB	AaB	2	7.893	OB	1	7th
3952	8	2011/2012	AaB	AaB	1	8.852	FCN	2	7th
3963	10	2011/2012	AaB	AaB	1	7.435	LBK	2	7th
3977	13	2011/2012	AaB	AaB	2	7.789	OB	1	7th
3989	15	2011/2012	AaB	AaB	2	6.285	ACH	0	7th
4002	17	2011/2012	AaB	AaB	0	6.288	AGF	2	7th
4111	2	2012/2013	AaB	AaB	2	7.895	BIF	1	5th
4121	4	2012/2013	AaB	AaB	1	4.783	FCN	1	5th
4136	6	2012/2013	AaB	AaB	3	6.578	FCM	0	5th
4156	9	2012/2013	AaB	AaB	4	10.107	RFC	0	5th
4161	10	2012/2013	AaB	AaB	0	8.296	EFB	2	5th
4179	13	2012/2013	AaB	AaB	2	6.888	SDR	1	5th
4192	15	2012/2013	AaB	AaB	1	6.149	FCM	3	5th
4203	17	2012/2013	AaB	AaB	2	5.567	ACH	0	5th
4301	1	2013/2014	AaB	AaB	2	7.062	FCK	1	Champion
4319	4	2013/2014	AaB	AaB	0	6.369	OB	0	Champion
4331	6	2013/2014	AaB	AaB	1	7.392	FCM	1	Champion
4337	7	2013/2014	AaB	AaB	2	8.566	BIF	1	Champion
4355	10	2013/2014	AaB	AaB	0	7.447	AGF	0	Champion
4361	11	2013/2014	AaB	AaB	3	6.892	VFF	1	Champion
4378	13	2013/2014	AaB	AaB	2	5.469	SDR	0	Champion
4384	14	2013/2014	AaB	AaB	1	5.289	OB	0	Champion
4509	2	2014/2015	AaB	AaB	2	7.543	FCM	0	5th
4520	4	2014/2015	AaB	AaB	1	5.904	FCN	2	5th
4528	5	2014/2015	AaB	AaB	1	5.319	EFB	1	5th
4535	7	2014/2015	AaB	AaB	1	8.546	FCK	0	5th
4552	9	2014/2015	AaB	AaB	0	5.357	RFC	0	5th
4561	11	2014/2015	AaB	AaB	1	9.923	HOB	1	5th
4576	13	2014/2015	AaB	AaB	2	6.240	SIF	0	5th
4582	14	2014/2015	AaB	AaB	2	6.369	FCV	0	5th
4701	1	2015/2016	AaB	AaB	1	7.764	EFB	1	5th
4719	4	2015/2016	AaB	AaB	0	7.077	FCM	2	5th
4732	6	2015/2016	AaB	AaB	5	8.041	OB	1	5th
4738	7	2015/2016	AaB	AaB	0	6.188	RFC	2	5th
4746	9	2015/2016	AaB	AaB	4	9.276	BIF	1	5th
4760	11	2015/2016	AaB	AaB	5	5.518	SDR	0	5th
4776	14	2015/2016	AaB	AaB	6	8.355	HOB	0	5th
4789	16	2015/2016	AaB	AaB	3	5.831	RFC	2	5th
4901	1	2016/2017	AaB	AaB	1	6.493	ACH	1	
4915	3	2016/2017	AaB	AaB	2	7.227	OB	2	
4925	5	2016/2017	AaB	AaB	2	6.114	EFB	1	
4942	7	2016/2017	AaB	AaB	2	6.658	AGF	1	
4945	8	2016/2017	AaB	AaB	0	11.727	BIF	1	
4960	10	2016/2017	AaB	AaB	1	5.303	VFF	0	
4973	12	2016/2017	AaB	AaB	0	5.185	SDR	1	
4986	14	2016/2017	AaB	AaB	1	5.149	FCN	1	
